Game Name,Price,Release Date,Clean_Price
FINAL FANTASY VII REMAKE INTERGRADE,"¥1,917","17 Jun, 2022",1917
Wuthering Waves,Free,"28 Apr, 2025",0
Forza Horizon 6,"¥9,800","18 May, 2026",9800
MECCHA CHAMELEON,¥632,"9 Jun, 2026",632
Street Fighter™ 6,"¥2,495","1 Jun, 2023",2495
Counter-Strike 2,Free,"21 Aug, 2012",0
Apex Legends™,Free,"4 Nov, 2020",0
Path of Exile 2,"¥4,642","6 Dec, 2024",4642
FINAL FANTASY VII REBIRTH,"¥2,631","23 Jan, 2025",2631
Monster Hunter Wilds,"¥3,775","27 Feb, 2025",3775
Witchspire,"¥2,189","10 Jun, 2026",2189
EARTH DEFENSE FORCE 6,"¥3,951","25 Jul, 2024",3951
Yu-Gi-Oh! Master Duel,Free,"18 Jan, 2022",0
Subnautica 2,"¥3,370","14 May, 2026",3370
Hearts of Iron IV,"¥1,398","6 Jun, 2016",1398
Starward,Free,"24 Apr, 2024",0
Slay the Spire 2,"¥2,800","5 Mar, 2026",2800
33 Immortals,"¥1,264","10 Jun, 2026",1264
ACE COMBAT 8: WINGS OF THEVE,"¥9,790","1 Oct, 2026",9790
VRChat,Free,"1 Feb, 2017",0
FINAL FANTASY XVI,"¥3,080","17 Sep, 2024",3080
Rust,"¥2,300","8 Feb, 2018",2300
Tom Clancy's Rainbow Six Siege,Free,"1 Dec, 2015",0
Resident Evil Requiem,"¥7,192","26 Feb, 2026",7192
TBH: Task Bar Hero,Free,"27 May, 2026",0
Dead by Daylight,"¥1,980","14 Jun, 2016",1980
Resident Evil 4,"¥1,247","24 Jan, 2019",1247
Shadowverse: Worlds Beyond,Free,"14 Jun, 2025",0
Burglin' Gnomes,"¥1,080","10 Jun, 2026",1080
R.E.P.O.,¥840,"26 Feb, 2025",840
Gamble With Your Friends,¥736,"1 May, 2026",736
Eternal Return,Free,"19 Jul, 2023",0
Overwatch®,Free,"10 Aug, 2023",0
MONSTER HUNTER RISE,¥798,"12 Jan, 2022",798
The Seven Deadly Sins: Origin,Free,"16 Mar, 2026",0
CRISIS CORE –FINAL FANTASY VII– REUNION,"¥2,387","13 Dec, 2022",2387
EA SPORTS FC™ 26,"¥1,960","25 Sep, 2025",1960
eFootball™,Free,"29 Sep, 2021",0
Echoes of Aincrad,"¥8,910","9 Jul, 2026",8910
Persona 4 Revival,"¥9,900","17 Feb, 2027",9900
Digimon Story Time Stranger,"¥6,600","2 Oct, 2025",6600
ELDEN RING NIGHTREIGN,"¥5,720","29 May, 2025",5720
DAVE THE DIVER,"¥1,200","28 Jun, 2023",1200
Limbus Company,Free,"26 Feb, 2023",0
Persona5: The Phantom X,Free,"25 Jun, 2025",0
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,"¥5,517","20 Mar, 2025",5517
STARSEEKER: Astroneer Expeditions,"¥3,850","11 Jun, 2026",3850
Clair Obscur: Expedition 33,"¥5,984","24 Apr, 2025",5984
Monster Hunter: World,¥777,"9 Aug, 2018",777
Street Fighter™ 6 - Year 4 Ultimate Pass,"¥4,600","5 Jun, 2026",4600
